origin,destination,weight
gci21_NatCsirt,gci21_NregCisrt,0.9979269026786577
gci21_NatCsirt,gci22_Scsirt,-0.999997379772829
gci21_NatCsirt,gci23_FStandard,-0.9943926931292761
gci21_NatCsirt,gci23_Fciip,-0.9857287972744567
gci21_NatCsirt,gci31_Nstrategy,0.999601598400333
gci21_NatCsirt,gci31_Npriority,-0.9999727812443722
gci21_NatCsirt,gci32_Acyber,-0.9989574257561337
gci21_NatCsirt,gci32_Aciip,-0.9834498477430378
gci21_NatCsirt,gci41_AWmsme,0.9963726012560201
gci21_NatCsirt,gci41_AWprivate,0.9891990486697207
gci21_NatCsirt,gci41_AWpublic,0.9994612567359058
gci21_NatCsirt,gci41_AWgeneral,-0.999567218503728
gci21_NatCsirt,gci41_AWcop,0.9862184871187801
gci21_NatCsirt,gci41_AWchildren,0.9995371567728581
gci21_NatCsirt,gci42_Tprofessional,0.9808214330260058
gci21_NatCsirt,gci42_Tacreditation,0.980821433026006
gci21_NatCsirt,gci42_Tsector,0.9808214296446475
gci21_NatCsirt,gci43_Cprimary,0.9808214338813175
gci21_NatCsirt,gci43_Csecondary,0.9808214339215345
gci21_NatCsirt,gci43_Chigher,0.9999458875260077
gci21_NatCsirt,gci44_Evalscheme,0.9976117393468754
gci21_NatCsirt,gci52_Mcapacitydev,-0.9984965845692317
gci21_NatCsirt,gci53_Mlat,-0.9968600125979449
gci21_NatCsirt,gci54_PPPdomestic,-0.9903030998392726
gci21_NatCsirt,gci54_PPPforeign,-0.9990414142442753
gci21_Nactivity,gci11_Lonline,-0.9910005770527238
gci21_Nactivity,gci11_Lforgery,0.9906426519111214
gci21_Nactivity,gci11_Lolsafety,0.9976836649939578
gci21_Nactivity,gci12_Rpdp,-0.9987809622246395
gci21_Nactivity,gci12_Rstandard,0.9802353150482693
gci21_Nactivity,gci12_Rsign,0.9948668630093872
gci21_Nactivity,gci12_Rspam,0.9802353281727113
gci21_Nactivity,gci12_Rcop,0.9857036442855284
gci21_Nactivity,gci21_NatCsirt,0.9999951689674595
gci21_Nactivity,gci21_Nfirst,0.9997713054994336
gci21_Nactivity,gci21_NregCisrt,0.9981145431374103
gci21_Nactivity,gci22_Scsirt,-0.9999997581691827
gci21_Nactivity,gci23_FStandard,-0.9940726348973752
gci21_Nactivity,gci23_Fciip,-0.9852219660514049
